iter	RMSE
0	24.28521913
1	24.07971281
2	23.8836911
3	23.68983627
4	23.49516214
5	23.28974585
6	23.1163147
7	22.92969275
8	22.73744321
9	22.55127123
10	22.36930053
11	22.18579527
12	22.00822437
13	21.83197182
14	21.65583138
15	21.48181146
16	21.31493306
17	21.14378192
18	20.97237064
19	20.79859552
20	20.63138866
21	20.46792036
22	20.30069215
23	20.14622724
24	19.98670823
25	19.83529544
26	19.67431163
27	19.52442654
28	19.35754182
29	19.1969012
30	19.04253609
31	18.89414839
32	18.73966116
33	18.60053199
34	18.4403896
35	18.29654573
36	18.1480762
37	17.99724927
38	17.85622192
39	17.72105482
40	17.57365207
41	17.4281112
42	17.28561782
43	17.15238831
44	17.01493639
45	16.88832392
46	16.75306305
47	16.62755134
48	16.50403052
49	16.37108342
50	16.23584409
51	16.11071572
52	15.97536354
53	15.85239164
54	15.72130264
55	15.5975021
56	15.48228192
57	15.35909555
58	15.23967263
59	15.12581311
60	15.01991287
61	14.90036787
62	14.79997431
63	14.69921097
64	14.58510156
65	14.47606395
66	14.36667066
67	14.25601336
68	14.15723816
69	14.05200598
70	13.94615511
71	13.84089039
72	13.7340233
73	13.62536713
74	13.52493442
75	13.41694224
76	13.31101731
77	13.2127695
78	13.1131823
79	13.01448869
80	12.91954141
81	12.82272622
82	12.72593729
83	12.63619499
84	12.53898481
85	12.44396143
86	12.3576915
87	12.26789419
88	12.17590848
89	12.093535
90	12.00433545
91	11.90991225
92	11.82866893
93	11.74788228
94	11.66371615
95	11.57875552
96	11.49025547
97	11.41217635
98	11.32788253
99	11.24746482
100	11.16711311
101	11.09303608
102	11.01933898
103	10.93719039
104	10.8664404
105	10.787006
106	10.71243703
107	10.64052191
108	10.56278058
109	10.49260564
110	10.42159654
111	10.35466989
112	10.28233363
113	10.20673177
114	10.14090727
115	10.07313725
116	10.00414865
117	9.94148278
118	9.874269627
119	9.804013421
120	9.739162608
121	9.678947113
122	9.618934686
123	9.55486132
124	9.49441381
125	9.429959563
126	9.368179503
127	9.30968132
128	9.251449194
129	9.194215252
130	9.132111844
131	9.072940684
132	9.01540813
133	8.9546951
134	8.892540238
135	8.838553525
136	8.786262415
137	8.728974379
138	8.670396929
139	8.615682089
140	8.559712918
141	8.503253684
142	8.451039301
143	8.39777491
144	8.350003338
145	8.299332287
146	8.246455335
147	8.194477348
148	8.139558827
149	8.086527671
150	8.038158156
151	7.985397338
152	7.933606617
153	7.886296204
154	7.839439513
155	7.791721289
156	7.747843187
157	7.706613335
158	7.661873524
159	7.618622456
160	7.571893133
161	7.527143045
162	7.480792588
163	7.440373853
164	7.392383072
165	7.349258551
166	7.307076532
167	7.267524779
168	7.22703106
169	7.189068154
170	7.14915544
171	7.107023084
172	7.062589903
173	7.024731709
174	6.984467173
175	6.946829473
176	6.912292857
177	6.876979738
178	6.837714994
179	6.802977979
180	6.765572951
181	6.729140387
182	6.6863315
183	6.649381717
184	6.617361701
185	6.582634695
186	6.548182121
187	6.513002975
188	6.478994785
189	6.442538795
190	6.408879068
191	6.37671418
192	6.347255372
193	6.314310339
194	6.288116041
195	6.259875682
196	6.229011364
197	6.196898383
198	6.166398095
199	6.136113246
200	6.109823506
201	6.084193678
202	6.051041021
203	6.02883774
204	6.00096987
205	5.969831584
206	5.942570926
207	5.919024056
208	5.88921818
209	5.859093317
210	5.832756205
211	5.810698999
212	5.78261885
213	5.758081623
