iter	Passed	Remaining
0	73	737885
1	93	468974
2	111	371968
3	131	328940
4	151	302571
5	176	293425
6	199	284314
7	216	269871
8	233	258740
9	250	250474
10	268	244031
11	285	237749
12	304	233579
13	321	229635
14	338	225658
15	356	222598
16	373	219302
17	390	216487
18	407	214123
19	421	210161
20	437	207965
21	454	206120
22	472	204845
23	489	203300
24	507	202489
25	523	200841
26	539	199436
27	557	198549
28	570	196177
29	586	195075
30	604	194338
31	620	193374
32	638	192747
33	654	191970
34	664	189250
35	681	188544
36	697	187767
37	714	187250
38	732	187106
39	752	187289
40	771	187459
41	791	187550
42	805	186592
43	825	186754
44	844	186785
45	865	187201
46	885	187415
47	909	188672
48	929	188696
49	948	188762
50	958	187006
51	976	186857
52	990	185971
53	1008	185799
54	1030	186377
55	1048	186258
56	1067	186247
57	1085	186118
58	1104	186057
59	1124	186349
60	1145	186561
61	1157	185596
62	1176	185633
63	1195	185556
64	1213	185514
65	1232	185500
66	1251	185554
67	1273	186055
68	1291	185901
69	1316	186805
70	1337	186980
71	1357	187171
72	1380	187672
73	1398	187651
74	1418	187664
75	1427	186443
76	1446	186420
77	1464	186291
78	1483	186290
79	1502	186254
80	1520	186240
81	1539	186177
82	1557	186138
83	1576	186130
84	1595	186098
85	1613	186050
86	1633	186128
87	1653	186245
88	1673	186316
89	1691	186269
90	1709	186173
91	1728	186169
92	1745	185927
93	1762	185716
94	1779	185492
95	1796	185290
96	1809	184717
97	1825	184479
98	1842	184228
99	1859	184056
100	1868	183090
101	1885	183014
102	1908	183362
103	1919	182693
104	1936	182466
105	1953	182302
106	1969	182127
107	1987	182058
108	2004	181893
109	2027	182304
110	2044	182184
111	2061	181992
112	2078	181819
113	2095	181679
114	2114	181782
115	2132	181674
116	2150	181612
117	2168	181628
118	2186	181565
119	2204	181473
120	2222	181457
121	2240	181422
122	2263	181799
123	2281	181722
124	2300	181759
125	2318	181690
126	2335	181545
127	2353	181529
128	2367	181145
129	2383	180954
130	2400	180828
131	2418	180786
132	2434	180634
133	2452	180572
134	2469	180426
135	2485	180285
136	2502	180179
137	2519	180032
138	2535	179910
139	2552	179769
140	2569	179644
141	2585	179475
142	2601	179339
143	2618	179221
144	2635	179123
145	2653	179113
146	2670	178982
147	2687	178886
148	2710	179223
149	2727	179130
150	2745	179051
151	2761	178917
152	2778	178838
153	2795	178735
154	2812	178655
155	2829	178531
156	2845	178422
157	2862	178301
158	2879	178209
159	2896	178114
160	2915	178170
161	2933	178176
162	2951	178139
163	2969	178086
164	2985	177978
165	3002	177900
166	3025	178140
167	3042	178051
168	3058	177923
169	3075	177840
170	3093	177791
171	3112	177838
172	3131	177875
173	3148	177798
174	3165	177733
175	3182	177636
176	3199	177555
177	3216	177469
178	3232	177365
179	3249	177259
180	3265	177132
181	3281	177029
182	3297	176919
183	3314	176833
184	3331	176735
185	3348	176676
186	3364	176554
187	3380	176451
188	3398	176426
189	3411	176163
190	3428	176095
191	3446	176058
192	3463	176000
193	3480	175936
194	3497	175868
195	3514	175791
196	3530	175695
197	3547	175609
198	3563	175513
199	3580	175439
200	3597	175371
201	3614	175338
202	3631	175272
203	3653	175463
204	3670	175380
205	3687	175300
206	3700	175074
207	3717	175019
208	3736	175053
209	3753	174969
210	3769	174883
211	3786	174802
212	3802	174736
213	3819	174680
214	3837	174655
215	3854	174579
216	3871	174534
217	3888	174463
218	3906	174474
219	3923	174412
220	3941	174409
221	3959	174415
222	3976	174339
223	3983	173858
224	3999	173741
225	4025	174082
226	4042	174035
227	4058	173933
228	4075	173873
229	4093	173901
230	4110	173851
231	4122	173578
232	4138	173491
233	4155	173437
234	4172	173379
235	4189	173317
236	4206	173274
237	4223	173223
238	4240	173181
239	4256	173106
240	4273	173040
241	4289	172971
242	4306	172907
243	4322	172833
244	4340	172819
245	4359	172865
246	4377	172835
247	4395	172829
248	4413	172830
249	4430	172800
250	4447	172753
251	4464	172703
252	4480	172616
253	4497	172566
254	4514	172505
255	4530	172459
256	4548	172432
257	4565	172379
258	4582	172333
259	4599	172287
260	4615	172240
261	4632	172175
262	4650	172160
263	4666	172089
264	4677	171831
265	4693	171770
266	4711	171740
267	4734	171938
268	4751	171887
269	4768	171825
270	4781	171660
271	4797	171588
272	4814	171526
273	4830	171468
274	4847	171408
275	4863	171338
276	4879	171279
277	4897	171267
278	4913	171210
279	4930	171150
280	4946	171091
281	4963	171064
282	4997	171588
283	5027	172013
284	5045	171973
285	5062	171934
286	5083	172055
287	5102	172053
288	5119	172038
289	5138	172037
290	5156	172032
291	5174	172034
292	5196	172153
293	5216	172213
294	5236	172272
295	5256	172342
296	5277	172431
297	5288	172174
298	5307	172201
299	5327	172243
300	5346	172270
301	5365	172289
302	5384	172319
303	5403	172348
304	5422	172375
305	5441	172380
306	5459	172365
307	5477	172353
308	5489	172163
309	5508	172177
310	5526	172174
311	5545	172184
312	5563	172196
313	5582	172201
314	5601	172213
315	5619	172219
316	5633	172079
317	5645	171892
318	5655	171637
319	5673	171625
320	5692	171647
321	5712	171685
322	5730	171684
323	5749	171712
324	5768	171719
325	5787	171729
326	5805	171723
327	5823	171729
328	5842	171728
329	5860	171719
330	5880	171783
331	5899	171789
332	5911	171617
333	5930	171616
334	5949	171644
335	5968	171661
336	5988	171704
337	6021	172126
338	6041	172168
339	6059	172169
340	6079	172193
341	6099	172236
342	6117	172238
343	6138	172295
344	6153	172198
345	6172	172210
346	6189	172174
347	6206	172146
348	6223	172092
349	6239	172039
350	6256	171985
351	6273	171942
352	6290	171899
353	6306	171846
354	6319	171706
355	6336	171646
356	6353	171611
357	6370	171569
358	6387	171527
359	6403	171483
360	6420	171435
361	6438	171414
362	6454	171363
363	6472	171335
364	6479	171041
365	6495	170979
366	6511	170925
367	6528	170871
368	6545	170828
369	6561	170785
370	6578	170747
371	6595	170713
372	6612	170675
373	6631	170674
374	6648	170636
375	6665	170620
376	6683	170600
377	6700	170558
378	6717	170523
379	6734	170477
380	6750	170432
381	6767	170383
382	6784	170347
383	6800	170301
384	6818	170279
385	6834	170226
386	6851	170184
387	6868	170162
388	6889	170206
389	6905	170165
390	6919	170045
391	6935	170001
392	6952	169957
393	6969	169918
394	6985	169873
395	6995	169648
396	7023	169899
397	7043	169934
398	7062	169937
399	7079	169911
400	7095	169858
401	7112	169825
402	7130	169810
403	7147	169768
404	7165	169749
405	7181	169698
406	7201	169750
407	7218	169706
408	7235	169670
409	7252	169641
410	7269	169611
411	7287	169587
412	7300	169464
413	7318	169446
414	7334	169401
415	7351	169364
416	7369	169361
417	7386	169319
418	7402	169274
419	7419	169227
420	7430	169054
421	7445	168999
422	7463	168980
423	7489	169142
424	7505	169101
425	7523	169093
426	7542	169098
427	7561	169116
428	7576	169024
429	7592	168979
430	7610	168956
431	7627	168937
432	7644	168900
433	7662	168891
434	7673	168729
435	7690	168692
436	7706	168653
437	7723	168617
438	7740	168574
439	7756	168533
440	7773	168504
441	7790	168473
442	7807	168425
443	7823	168375
444	7839	168338
445	7857	168313
446	7868	168155
447	7884	168111
448	7901	168079
449	7919	168060
450	7935	168024
451	7953	167999
452	7964	167843
453	7980	167800
454	7997	167762
455	8010	167650
456	8051	168120
457	8073	168209
458	8088	168128
459	8107	168133
460	8125	168133
461	8142	168107
462	8160	168101
463	8179	168104
464	8197	168098
465	8215	168073
466	8232	168051
467	8243	167897
468	8260	167862
469	8278	167849
470	8294	167816
471	8311	167777
472	8336	167907
473	8354	167891
474	8370	167859
475	8387	167829
476	8404	167800
477	8421	167759
478	8437	167717
479	8454	167680
480	8471	167643
481	8487	167599
482	8504	167565
483	8520	167521
484	8537	167488
485	8554	167466
486	8572	167456
487	8589	167425
488	8606	167401
489	8623	167364
490	8632	167180
491	8650	167167
492	8667	167150
493	8685	167128
494	8701	167087
495	8717	167046
496	8734	167006
497	8751	166974
498	8767	166942
499	8786	166952
500	8804	166939
501	8821	166899
502	8838	166869
503	8855	166843
504	8871	166808
505	8885	166717
506	8903	166703
507	8916	166607
508	8933	166569
509	8949	166535
510	8967	166514
511	8983	166483
512	9000	166448
513	9017	166428
514	9052	166719
515	9069	166696
516	9093	166799
517	9110	166776
518	9124	166683
519	9141	166659
520	9159	166654
521	9176	166611
522	9192	166574
523	9209	166536
524	9225	166502
525	9242	166468
526	9259	166437
527	9276	166420
528	9293	166390
529	9304	166254
530	9320	166200
531	9352	166454
532	9369	166420
533	9386	166392
534	9403	166355
535	9419	166319
536	9430	166185
537	9445	166129
538	9462	166087
539	9478	166045
540	9495	166017
541	9512	165987
542	9529	165961
543	9546	165945
544	9558	165826
545	9574	165781
546	9591	165755
547	9607	165719
548	9628	165757
549	9648	165774
550	9668	165803
551	9687	165817
552	9706	165810
553	9724	165808
554	9742	165801
555	9761	165810
556	9773	165697
557	9791	165686
558	9809	165680
559	9828	165685
560	9849	165722
561	9869	165743
562	9888	165752
563	9907	165765
564	9928	165796
565	9951	165863
566	9970	165872
567	9988	165873
568	10008	165892
569	10020	165784
570	10056	166059
571	10075	166074
572	10096	166111
573	10108	166003
574	10128	166026
575	10145	165997
576	10164	165993
577	10183	165999
578	10201	165995
579	10220	166000
580	10230	165854
581	10248	165844
582	10267	165845
583	10285	165836
584	10297	165730
585	10316	165729
586	10332	165684
587	10354	165746
588	10373	165743
589	10392	165743
590	10410	165742
591	10429	165751
592	10450	165773
593	10468	165766
594	10487	165770
595	10505	165765
596	10524	165768
597	10545	165795
598	10564	165806
599	10584	165821
600	10602	165814
601	10619	165790
602	10637	165777
603	10654	165747
604	10671	165723
605	10688	165684
606	10704	165649
607	10721	165616
608	10738	165583
609	10754	165550
610	10771	165520
611	10787	165479
612	10804	165445
613	10822	165435
614	10839	165415
615	10856	165381
616	10867	165263
617	10875	165102
618	10891	165066
619	10908	165040
620	10926	165016
621	10942	164985
622	10949	164811
623	10966	164775
624	10980	164704
625	11000	164721
626	11019	164732
627	11037	164719
628	11077	165040
629	11095	165028
630	11105	164886
631	11119	164815
632	11131	164728
633	11150	164730
634	11168	164719
635	11192	164789
636	11213	164818
637	11230	164794
638	11246	164761
639	11263	164735
640	11274	164616
641	11290	164574
642	11301	164467
643	11318	164441
644	11330	164334
645	11341	164217
646	11363	164263
647	11379	164232
648	11396	164206
649	11413	164182
650	11430	164153
651	11447	164122
652	11464	164096
653	11481	164074
654	11490	163935
655	11506	163895
656	11522	163863
657	11539	163838
658	11556	163813
659	11574	163801
660	11592	163778
661	11609	163753
662	11626	163729
663	11642	163698
664	11659	163670
665	11673	163599
666	11689	163564
667	11706	163535
668	11723	163509
669	11740	163485
670	11756	163456
671	11773	163428
672	11790	163399
673	11807	163377
674	11824	163354
675	11841	163323
676	11858	163297
677	11872	163233
678	11885	163162
679	11894	163024
680	11910	162984
681	11926	162950
682	11943	162921
683	11959	162889
684	11979	162897
685	11988	162774
686	12004	162738
687	12014	162608
688	12030	162573
689	12047	162548
690	12086	162830
691	12103	162800
692	12123	162821
693	12150	162927
694	12168	162915
695	12179	162817
696	12196	162783
697	12212	162747
698	12228	162712
699	12244	162681
700	12261	162651
701	12272	162543
702	12288	162508
703	12306	162501
704	12323	162474
705	12333	162365
706	12349	162325
707	12366	162295
708	12382	162270
709	12396	162206
710	12413	162175
711	12429	162144
712	12446	162119
713	12463	162096
714	12476	162015
715	12492	161984
716	12511	161990
717	12528	161961
718	12545	161946
719	12564	161944
720	12583	161945
721	12599	161912
722	12611	161820
723	12628	161793
724	12645	161781
725	12662	161753
726	12676	161686
727	12694	161682
728	12709	161629
729	12727	161615
730	12743	161588
731	12762	161593
732	12776	161527
733	12795	161524
734	12812	161511
735	12831	161509
736	12848	161482
737	12866	161479
738	12882	161446
739	12896	161385
740	12913	161353
741	12929	161327
742	12947	161310
743	12964	161285
744	12982	161273
745	12998	161248
746	13010	161160
747	13026	161125
748	13045	161131
749	13088	161419
750	13107	161425
751	13126	161426
752	13133	161283
753	13150	161260
754	13167	161240
755	13186	161240
756	13204	161229
757	13222	161212
758	13238	161187
759	13256	161167
760	13273	161146
761	13291	161139
762	13307	161107
763	13324	161083
764	13341	161057
765	13357	161023
766	13366	160903
767	13392	160994
768	13422	161127
769	13433	161025
770	13443	160922
771	13459	160891
772	13476	160864
773	13493	160840
774	13509	160808
775	13526	160782
776	13541	160738
777	13558	160713
778	13572	160654
779	13588	160623
780	13605	160595
781	13618	160532
782	13635	160514
783	13652	160485
784	13669	160461
785	13682	160395
786	13698	160364
787	13714	160330
788	13731	160303
789	13742	160212
790	13752	160113
791	13766	160049
792	13785	160051
793	13801	160020
794	13818	159994
795	13836	159988
796	13853	159969
797	13872	159964
798	13888	159940
799	13905	159912
800	13922	159889
801	13935	159818
802	13956	159843
803	13975	159846
804	13994	159851
805	14012	159840
806	14034	159879
807	14055	159896
808	14065	159799
809	14106	160048
810	14118	159973
811	14140	160001
812	14160	160010
813	14173	159942
814	14192	159946
815	14211	159953
816	14231	159957
817	14250	159963
818	14269	159958
819	14287	159954
820	14306	159945
821	14317	159860
822	14336	159857
823	14354	159852
824	14372	159841
825	14391	159838
826	14410	159841
827	14429	159838
828	14448	159836
829	14458	159741
830	14473	159695
831	14491	159688
832	14510	159682
833	14530	159698
834	14549	159692
835	14567	159688
836	14587	159691
837	14605	159681
838	14623	159678
839	14642	159669
840	14661	159669
841	14671	159576
842	14685	159521
843	14705	159524
844	14724	159528
845	14742	159523
846	14762	159526
847	14781	159524
848	14799	159520
849	14814	159474
850	14833	159468
851	14852	159471
852	14861	159368
853	14873	159292
854	14885	159219
855	14900	159176
856	14922	159198
857	14940	159193
858	14953	159122
859	14971	159119
860	14990	159117
861	15010	159128
862	15029	159119
863	15046	159105
864	15063	159081
865	15080	159059
866	15126	159347
867	15145	159343
868	15162	159317
869	15184	159348
870	15195	159266
871	15204	159159
872	15221	159140
873	15240	159132
874	15258	159119
875	15274	159094
876	15283	158987
877	15299	158950
878	15308	158848
879	15320	158777
880	15329	158669
881	15339	158575
882	15354	158539
883	15371	158517
884	15388	158488
885	15404	158464
886	15418	158406
887	15434	158376
888	15450	158350
889	15461	158265
890	15477	158233
891	15490	158172
892	15504	158120
893	15515	158036
894	15528	157975
895	15544	157945
896	15561	157917
897	15571	157834
898	15588	157804
899	15604	157778
900	15622	157764
901	15639	157744
902	15655	157720
903	15666	157636
904	15682	157602
905	15698	157577
906	15715	157552
907	15732	157532
908	15750	157521
909	15763	157463
910	15776	157403
911	15794	157387
912	15804	157304
913	15820	157273
914	15837	157245
915	15853	157222
916	15871	157204
917	15888	157189
918	15906	157177
919	15919	157120
920	15930	157035
921	15938	156930
922	15954	156903
923	15970	156875
924	15984	156821
925	16002	156808
926	16019	156789
927	16036	156766
928	16052	156740
929	16068	156713
930	16085	156694
931	16110	156747
932	16156	157012
933	16173	156991
934	16202	157082
935	16220	157071
936	16238	157067
937	16253	157020
938	16269	156993
939	16282	156934
940	16298	156904
941	16307	156805
942	16317	156721
943	16333	156687
944	16349	156665
945	16366	156641
946	16382	156611
947	16398	156585
948	16415	156557
949	16437	156584
950	16450	156528
951	16466	156501
952	16484	156493
953	16495	156414
954	16513	156402
955	16530	156378
956	16547	156360
957	16563	156333
958	16572	156237
959	16588	156207
960	16597	156112
961	16613	156084
962	16630	156065
963	16643	156010
964	16656	155950
965	16667	155869
966	16679	155810
967	16690	155730
968	16706	155703
969	16723	155680
970	16730	155571
971	16746	155542
972	16759	155489
973	16776	155467
974	16793	155444
975	16810	155428
976	16826	155403
977	16843	155379
978	16860	155357
979	16880	155366
980	16890	155288
981	16905	155252
982	16922	155232
983	16936	155182
984	16953	155166
985	16968	155124
986	16983	155088
987	17001	155081
988	17011	154995
989	17028	154976
990	17037	154885
991	17044	154776
992	17064	154783
993	17081	154763
994	17095	154718
995	17112	154698
996	17159	154949
997	17182	154987
998	17199	154968
999	17211	154901
1000	17228	154884
1001	17244	154860
1002	17262	154845
1003	17280	154832
1004	17292	154776
1005	17305	154720
1006	17322	154695
1007	17338	154674
1008	17354	154646
1009	17371	154619
1010	17388	154605
1011	17405	154584
1012	17421	154561
1013	17440	154556
1014	17457	154537
1015	17475	154530
1016	17484	154441
1017	17500	154413
1018	17517	154391
1019	17534	154376
1020	17551	154352
1021	17568	154330
1022	17584	154304
1023	17600	154283
1024	17617	154260
1025	17633	154234
1026	17646	154182
1027	17662	154154
1028	17680	154138
1029	17691	154068
1030	17707	154044
1031	17724	154025
1032	17741	154005
1033	17752	153937
1034	17769	153912
1035	17786	153900
1036	17804	153889
1037	17813	153803
1038	17830	153782
1039	17848	153775
1040	17863	153733
1041	17874	153666
1042	17890	153641
1043	17908	153630
1044	17925	153606
1045	17938	153556
1046	17954	153533
1047	17971	153512
1048	17989	153506
1049	18006	153484
1050	18022	153459
1051	18035	153408
1052	18052	153383
1053	18068	153359
1054	18081	153309
1055	18097	153282
1056	18114	153260
1057	18131	153240
1058	18179	153485
1059	18206	153552
1060	18233	153617
1061	18246	153568
1062	18262	153538
1063	18279	153520
1064	18297	153510
1065	18309	153447
1066	18328	153451
1067	18341	153396
1068	18359	153386
1069	18376	153367
1070	18393	153347
1071	18402	153264
1072	18418	153238
1073	18436	153227
1074	18457	153243
1075	18470	153188
1076	18494	153225
1077	18503	153146
1078	18523	153145
1079	18541	153138
1080	18560	153138
1081	18572	153078
1082	18592	153082
1083	18611	153079
1084	18623	153017
1085	18641	153013
1086	18661	153014
1087	18673	152960
1088	18692	152954
1089	18711	152951
1090	18725	152914
1091	18743	152902
1092	18762	152897
1093	18780	152890
1094	18799	152886
1095	18813	152844
1096	18834	152855
1097	18853	152852
1098	18872	152850
1099	18887	152816
1100	18905	152810
1101	18920	152771
1102	18932	152714
1103	18952	152719
1104	18964	152659
1105	18982	152650
1106	18994	152594
1107	19004	152518
1108	19023	152517
1109	19035	152457
1110	19054	152452
1111	19073	152451
1112	19092	152451
1113	19111	152445
1114	19126	152409
1115	19144	152401
1116	19191	152620
1117	19212	152638
1118	19229	152615
1119	19247	152605
1120	19265	152597
1121	19284	152591
1122	19299	152560
1123	19312	152510
1124	19330	152497
1125	19349	152492
1126	19368	152486
1127	19386	152481
1128	19405	152473
1129	19423	152467
1130	19441	152454
1131	19457	152430
1132	19471	152382
1133	19487	152358
1134	19498	152293
1135	19515	152273
1136	19528	152226
1137	19545	152209
1138	19562	152189
1139	19579	152171
1140	19595	152146
1141	19612	152124
1142	19625	152073
1143	19636	152008
1144	19652	151986
1145	19665	151937
1146	19683	151921
1147	19696	151872
1148	19711	151844
1149	19720	151763
1150	19737	151741
1151	19746	151666
1152	19762	151640
1153	19779	151618
1154	19796	151602
1155	19815	151599
1156	19833	151591
1157	19851	151580
1158	19870	151571
1159	19887	151557
1160	19902	151524
1161	19921	151519
1162	19931	151446
1163	19944	151400
1164	19964	151404
1165	19982	151394
1166	19998	151370
1167	20012	151325
1168	20029	151305
1169	20045	151282
1170	20061	151259
1171	20078	151239
1172	20095	151218
1173	20111	151195
1174	20128	151176
1175	20144	151154
1176	20162	151139
1177	20213	151376
1178	20251	151520
1179	20263	151464
1180	20282	151459
1181	20299	151441
1182	20313	151400
1183	20333	151404
1184	20345	151344
1185	20361	151317
1186	20377	151293
1187	20394	151279
1188	20406	151217
1189	20417	151158
1190	20433	151133
1191	20446	151085
1192	20463	151066
1193	20479	151043
1194	20496	151021
1195	20512	150998
1196	20529	150976
1197	20545	150953
1198	20562	150931
1199	20579	150915
1200	20596	150894
1201	20613	150877
1202	20626	150834
1203	20638	150774
1204	20655	150758
1205	20672	150740
1206	20685	150693
1207	20698	150645
1208	20715	150627
1209	20724	150553
1210	20734	150485
1211	20750	150454
1212	20766	150432
1213	20782	150405
1214	20799	150390
1215	20810	150327
1216	20827	150309
1217	20840	150265
1218	20858	150249
1219	20874	150231
1220	20891	150213
1221	20909	150200
1222	20931	150216
1223	20948	150200
1224	20968	150205
1225	20986	150193
1226	21003	150177
1227	21017	150133
1228	21033	150107
1229	21049	150085
1230	21066	150068
1231	21077	150007
1232	21090	149958
1233	21107	149939
1234	21123	149917
1235	21136	149872
1236	21153	149854
1237	21170	149835
1238	21186	149813
1239	21203	149794
1240	21258	150045
1241	21273	150012
1242	21294	150019
1243	21311	150002
1244	21328	149985
1245	21345	149970
1246	21362	149948
1247	21379	149929
1248	21397	149916
1249	21408	149861
1250	21418	149795
1251	21434	149768
1252	21448	149729
1253	21464	149702
1254	21480	149680
1255	21497	149662
1256	21514	149640
1257	21530	149618
1258	21547	149599
1259	21564	149582
1260	21577	149536
1261	21593	149513
1262	21610	149492
1263	21626	149470
1264	21643	149449
1265	21660	149435
1266	21673	149389
1267	21691	149378
1268	21709	149365
1269	21725	149344
1270	21742	149323
1271	21758	149301
1272	21775	149279
1273	21791	149259
1274	21808	149239
1275	21821	149195
1276	21837	149170
1277	21855	149156
1278	21866	149101
1279	21883	149083
1280	21897	149044
1281	21913	149019
1282	21926	148977
1283	21937	148917
1284	21954	148894
1285	21960	148808
1286	21976	148781
1287	21993	148762
1288	22009	148739
1289	22022	148696
1290	22038	148673
1291	22052	148635
1292	22069	148614
1293	22079	148547
1294	22092	148502
1295	22104	148457
1296	22121	148438
1297	22138	148417
1298	22154	148397
1299	22171	148377
1300	22180	148309
1301	22196	148286
1302	22210	148244
1303	22226	148223
1304	22283	148474
1305	22302	148468
1306	22320	148456
1307	22337	148435
1308	22354	148423
1309	22372	148412
1310	22389	148395
1311	22406	148372
1312	22422	148350
1313	22438	148329
1314	22455	148307
1315	22471	148287
1316	22480	148216
1317	22491	148155
1318	22501	148095
1319	22512	148033
1320	22528	148014
1321	22545	147992
1322	22561	147973
1323	22575	147937
1324	22593	147922
